t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-17 00:25:00,104904.928,104908.875,104904.928,104908.875,26336.1,26341.0,26332.6,26340.9,66.89,34.753,350.0,203.0,0.009995,0.009995,0.009995,0.009995,0,0
2023-06-17 00:26:00,104900.395,104900.395,104896.551,104896.551,26341.0,26342.9,26338.0,26340.8,83.21699999999998,42.163,323.0,178.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:27:00,104900.111,104913.133,104900.111,104913.133,26340.7,26340.8,26330.6,26330.6,90.02100000000003,29.670000000000005,272.0,86.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:28:00,104903.158,105014.568,104903.158,105014.568,26330.6,26331.9,26312.9,26320.0,359.537,60.90099999999998,508.0,165.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:29:00,105064.646,105168.359,105064.646,105168.359,26320.0,26326.4,26308.8,26320.5,488.41,178.41500000000002,847.0,407.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:30:00,105118.733,105118.904,105118.733,105118.904,26320.4,26323.2,26317.0,26319.0,95.33899999999997,45.54799999999997,521.0,267.0,0.01,0.01,0.01,0.01,0,0
2023-06-17 00:31:00,105114.306,105121.379,105114.306,105121.379,26319.0,26319.1,26312.9,26313.9,62.525999999999996,21.608000000000008,379.0,160.0,0.009972,0.009972,0.009972,0.009972,0,0
2023-06-17 00:32:00,105122.449,105122.742,105122.449,105122.742,26313.9,26314.0,26309.1,26309.1,101.60699999999997,31.290999999999997,406.0,171.0,0.009937,0.009937,0.009937,0.009937,0,0
2023-06-17 00:33:00,105115.349,105115.349,105111.634,105111.634,26309.1,26316.9,26309.1,26315.3,71.29999999999998,49.625,322.0,181.0,0.009851,0.009851,0.009851,0.009851,0,0
2023-06-17 00:34:00,105118.729,105118.729,105113.866,105113.866,26315.2,26317.5,26310.0,26315.8,117.738,61.30900000000001,392.0,178.0,0.00982,0.00982,0.00982,0.00982,0,0
